date,kota,month,month_sin,month_cos,ihk_kel_01_mtm,ihk_kel_03_mtm,ihk_kel_06_mtm,gt_harga_beras,gt_harga_cabai,gt_harga_telur,gt_harga_daging_ayam,gt_harga_minyak_goreng,gt_harga_bawang,gt_tiket_pesawat,gt_tiket_kereta,gt_harga_bensin,kurs_usd_idr,bi_rate_percent,harga_bbm_pertamax,oceanic_nino_index,is_ramadan,is_lebaran,pre_lebaran_1m,is_dry_season,is_rainy_season,is_el_nino,is_la_nina,bbm_price_hike_event,bi_rate_hike_event,ihk_umum_mtm_lag1,ihk_umum_mtm_lag2,ihk_umum_mtm_lag3,inflasi_general_mtm_lag1,inflasi_general_mtm_lag2,inflasi_general_mtm_lag3,inflasi_core_mtm_lag1,inflasi_core_mtm_lag2,inflasi_core_mtm_lag3,inflasi_administered_price_mtm_lag1,inflasi_administered_price_mtm_lag2,inflasi_administered_price_mtm_lag3,inflasi_volatile_good_mtm_lag1,inflasi_volatile_good_mtm_lag2,inflasi_volatile_good_mtm_lag3,gt_harga_beras_lag1,gt_harga_beras_lag2,gt_harga_beras_lag3,gt_harga_cabai_lag1,gt_harga_cabai_lag2,gt_harga_cabai_lag3,gt_harga_telur_lag1,gt_harga_telur_lag2,gt_harga_telur_lag3,gt_harga_daging_ayam_lag1,gt_harga_daging_ayam_lag2,gt_harga_daging_ayam_lag3,gt_harga_minyak_goreng_lag1,gt_harga_minyak_goreng_lag2,gt_harga_minyak_goreng_lag3,gt_harga_bawang_lag1,gt_harga_bawang_lag2,gt_harga_bawang_lag3,gt_tiket_pesawat_lag1,gt_tiket_pesawat_lag2,gt_tiket_pesawat_lag3,gt_tiket_kereta_lag1,gt_tiket_kereta_lag2,gt_tiket_kereta_lag3,gt_harga_bensin_lag1,gt_harga_bensin_lag2,gt_harga_bensin_lag3,kurs_usd_idr_lag1,kurs_usd_idr_lag2,kurs_usd_idr_lag3,bi_rate_percent_lag1,bi_rate_percent_lag2,bi_rate_percent_lag3,harga_bbm_pertamax_lag1,harga_bbm_pertamax_lag2,harga_bbm_pertamax_lag3,oceanic_nino_index_lag1,oceanic_nino_index_lag2,oceanic_nino_index_lag3,ihk_umum_mtm_roll_mean_3,ihk_umum_mtm_roll_std_3,ihk_umum_mtm_roll_mean_6,ihk_umum_mtm_roll_std_6,inflasi_general_mtm_roll_mean_3,inflasi_general_mtm_roll_std_3,inflasi_general_mtm_roll_mean_6,inflasi_general_mtm_roll_std_6,inflasi_core_mtm_roll_mean_3,inflasi_core_mtm_roll_std_3,inflasi_core_mtm_roll_mean_6,inflasi_core_mtm_roll_std_6,inflasi_administered_price_mtm_roll_mean_3,inflasi_administered_price_mtm_roll_std_3,inflasi_administered_price_mtm_roll_mean_6,inflasi_administered_price_mtm_roll_std_6,inflasi_volatile_good_mtm_roll_mean_3,inflasi_volatile_good_mtm_roll_std_3,inflasi_volatile_good_mtm_roll_mean_6,inflasi_volatile_good_mtm_roll_std_6,gt_harga_beras_diff1,gt_harga_beras_pct_change,gt_harga_cabai_diff1,gt_harga_cabai_pct_change,gt_harga_telur_diff1,gt_harga_telur_pct_change,gt_harga_daging_ayam_diff1,gt_harga_daging_ayam_pct_change,gt_harga_minyak_goreng_diff1,gt_harga_minyak_goreng_pct_change,gt_harga_bawang_diff1,gt_harga_bawang_pct_change,gt_tiket_pesawat_diff1,gt_tiket_pesawat_pct_change,gt_tiket_kereta_diff1,gt_tiket_kereta_pct_change,gt_harga_bensin_diff1,gt_harga_bensin_pct_change,gt_harga_beras_lag1_diff1,gt_harga_beras_lag1_pct_change,gt_harga_beras_lag2_diff1,gt_harga_beras_lag2_pct_change,gt_harga_beras_lag3_diff1,gt_harga_beras_lag3_pct_change,gt_harga_cabai_lag1_diff1,gt_harga_cabai_lag1_pct_change,gt_harga_cabai_lag2_diff1,gt_harga_cabai_lag2_pct_change,gt_harga_cabai_lag3_diff1,gt_harga_cabai_lag3_pct_change,gt_harga_telur_lag1_diff1,gt_harga_telur_lag1_pct_change,gt_harga_telur_lag2_diff1,gt_harga_telur_lag2_pct_change,gt_harga_telur_lag3_diff1,gt_harga_telur_lag3_pct_change,gt_harga_daging_ayam_lag1_diff1,gt_harga_daging_ayam_lag1_pct_change,gt_harga_daging_ayam_lag2_diff1,gt_harga_daging_ayam_lag2_pct_change,gt_harga_daging_ayam_lag3_diff1,gt_harga_daging_ayam_lag3_pct_change,gt_harga_minyak_goreng_lag1_diff1,gt_harga_minyak_goreng_lag1_pct_change,gt_harga_minyak_goreng_lag2_diff1,gt_harga_minyak_goreng_lag2_pct_change,gt_harga_minyak_goreng_lag3_diff1,gt_harga_minyak_goreng_lag3_pct_change,gt_harga_bawang_lag1_diff1,gt_harga_bawang_lag1_pct_change,gt_harga_bawang_lag2_diff1,gt_harga_bawang_lag2_pct_change,gt_harga_bawang_lag3_diff1,gt_harga_bawang_lag3_pct_change,gt_tiket_pesawat_lag1_diff1,gt_tiket_pesawat_lag1_pct_change,gt_tiket_pesawat_lag2_diff1,gt_tiket_pesawat_lag2_pct_change,gt_tiket_pesawat_lag3_diff1,gt_tiket_pesawat_lag3_pct_change,gt_tiket_kereta_lag1_diff1,gt_tiket_kereta_lag1_pct_change,gt_tiket_kereta_lag2_diff1,gt_tiket_kereta_lag2_pct_change,gt_tiket_kereta_lag3_diff1,gt_tiket_kereta_lag3_pct_change,gt_harga_bensin_lag1_diff1,gt_harga_bensin_lag1_pct_change,gt_harga_bensin_lag2_diff1,gt_harga_bensin_lag2_pct_change,gt_harga_bensin_lag3_diff1,gt_harga_bensin_lag3_pct_change,kota_jakarta,kota_makassar,kota_medan,kota_surabaya,ihk_umum_mtm,inflasi_general_mtm,inflasi_core_mtm,inflasi_administered_price_mtm,inflasi_volatile_good_mtm
2020-02-01,makassar,2,0.866025404,0.5,1.24,-0.01,-0.28,52,70,75,0,7,65,83.0,79.0,44.0,13707.272,4.75,9200,0.6,0,0,0.0,0,1,1,0,0,0,0.32,0.32,0.32,0.39,0.39,0.39,0.19,0.19,0.19,-0.28,-0.28,-0.28,1.93,1.93,1.93,32.0,32.0,32.0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,5.0,5.0,5.0,24.0,24.0,24.0,100.0,100.0,100.0,45.0,45.0,45.0,54.0,54.0,54.0,13663.56727,13663.56727,13663.56727,5.0,5.0,5.0,9400.0,9400.0,9400.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,20.0,0.625,70.0,-1.0,21.0,0.388888889,0.0,-1.0,2.0,0.4,35.860000000000014,0.7405441567900003,-17.0,-0.17,30.0,0.69353383428,-10.0,-0.185185185,20.0,0.625,20.0,0.625,20.0,0.625,70.0,-1.0,70.0,-1.0,70.0,-1.0,21.0,0.388888889,21.0,0.388888889,21.0,0.388888889,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,0.4,2.0,0.4,2.0,0.4,40.31,0.8680896685300001,41.0,1.0042460319300006,41.0,1.342797619240001,-17.0,-0.17,-17.0,-0.17,-17.0,-0.17,31.0,0.7253571426600001,31.310000000000002,0.75,32.620000000000005,0.75172222236,-10.0,-0.185185185,-10.0,-0.185185185,-10.0,-0.185185185,0,1,0,0,0.32,0.28,0.14,-0.11,1.27
2020-03-01,makassar,3,1.0,6.12e-17,-1.38,-0.05,-0.54,60,0,61,0,6,53,84.0,32.0,40.0,15118.60095,4.5,9200,0.5,0,0,0.0,0,0,1,0,0,0,0.32,0.32,0.32,0.28,0.39,0.39,0.14,0.19,0.19,-0.11,-0.28,-0.28,1.27,1.93,1.93,52.0,32.0,32.0,70.0,0.0,0.0,75.0,54.0,54.0,0.0,0.0,0.0,7.0,5.0,5.0,65.0,24.0,24.0,83.0,100.0,100.0,79.0,45.0,45.0,44.0,54.0,54.0,13707.272,13663.56727,13663.56727,4.75,5.0,5.0,9200.0,9400.0,9400.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,8.0,0.153846154,-66.55,-1.0,-14.0,-0.186666667,0.0,-1.0,-1.0,-0.142857143,-12.0,-0.184615385,1.0,0.012048193,-40.31,-0.594936709,-4.0,-0.090909091,20.0,0.625,20.0,0.625,20.0,0.625,70.0,-1.0,70.0,-1.0,70.0,-1.0,21.0,0.388888889,21.0,0.388888889,21.0,0.388888889,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.0,0.4,2.0,0.4,2.0,0.4,40.31,0.8680896685300001,41.0,1.0042460319300006,41.0,1.342797619240001,-17.0,-0.17,-17.0,-0.17,-17.0,-0.17,31.0,0.7253571426600001,31.310000000000002,0.75,32.620000000000005,0.75172222236,-10.0,-0.185185185,-10.0,-0.185185185,-10.0,-0.185185185,0,1,0,0,0.01,0.1,0.29,-0.19,-0.38
2020-04-01,makassar,4,0.866025404,-0.5,1.14,0.0,-0.14,73,47,87,0,17,51,40.0,25.0,39.0,15788.09476,4.5,9200,0.3,1,0,1.0,0,0,0,0,0,0,0.01,0.32,0.32,0.1,0.28,0.39,0.29,0.14,0.19,-0.19,-0.11,-0.28,-0.38,1.27,1.93,60.0,52.0,32.0,0.0,70.0,0.0,61.0,75.0,54.0,0.0,0.0,0.0,6.0,7.0,5.0,53.0,65.0,24.0,84.0,83.0,100.0,32.0,79.0,45.0,40.0,44.0,54.0,15118.60095,13707.272,13663.56727,4.5,4.75,5.0,9200.0,9200.0,9400.0,0.5,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.153333333,0.110151411,0.183333333,0.128478273,0.2,0.079372539,0.145,0.096488341,-0.146666667,0.040414519,0.028333333,0.357402667,0.266666667,0.880927541,0.5,0.983178519,13.0,0.216666667,47.0,-1.0,26.0,0.426229508,0.0,-1.0,11.0,1.833333333,-2.0,-0.037735849,-41.24,-0.50788981582,-7.0,-0.21875,-1.0,-0.025,8.0,0.153846154,20.0,0.625,20.0,0.625,-66.55,-1.0,70.0,-1.0,70.0,-1.0,-14.0,-0.186666667,21.0,0.388888889,21.0,0.388888889,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-0.142857143,2.0,0.4,2.0,0.4,-12.0,-0.184615385,41.0,1.0042460319300006,41.0,1.342797619240001,1.0,0.012048193,-17.0,-0.17,-17.0,-0.17,-40.31,-0.594936709,31.310000000000002,0.75,32.620000000000005,0.75172222236,-4.0,-0.090909091,-10.0,-0.185185185,-10.0,-0.185185185,0,1,0,0,-0.16,0.08,0.17,-0.14,-0.09
2020-05-01,makassar,5,0.5,-0.866025404,0.14,0.02,3.86,78,48,89,0,15,60,36.0,28.0,58.0,14831.66,4.5,9200,0.0,1,1,0.0,0,0,0,0,0,0,-0.16,0.01,0.32,0.08,0.1,0.28,0.17,0.29,0.14,-0.14,-0.19,-0.11,-0.09,-0.38,1.27,73.0,60.0,52.0,47.0,0.0,70.0,87.0,61.0,75.0,0.0,0.0,0.0,17.0,6.0,7.0,51.0,53.0,65.0,40.0,84.0,83.0,25.0,32.0,79.0,39.0,40.0,44.0,15788.09476,15118.60095,13707.272,4.5,4.5,4.75,9200.0,9200.0,9200.0,0.3,0.5,0.6,0.02,0.185202592,0.041666667,0.285756306,0.083333333,0.015275252,0.183333333,0.128478273,0.173333333,0.115036226,0.145,0.096488341,0.113333333,0.482735262,0.028333333,0.357402667,-0.323333333,0.210792157,0.5,0.983178519,5.0,0.068493151,1.0,0.021276596,2.0,0.022988506,0.0,-1.0,-2.0,-0.117647059,9.0,0.176470588,-4.0,-0.1,3.0,0.12,19.0,0.487179487,13.0,0.216666667,8.0,0.153846154,20.0,0.625,47.0,-1.0,-66.55,-1.0,70.0,-1.0,26.0,0.426229508,-14.0,-0.186666667,21.0,0.388888889,0.0,-1.0,0.0,-1.0,0.0,-1.0,11.0,1.833333333,-1.0,-0.142857143,2.0,0.4,-2.0,-0.037735849,-12.0,-0.184615385,41.0,1.342797619240001,-41.24,-0.50788981582,1.0,0.012048193,-17.0,-0.17,-7.0,-0.21875,-40.31,-0.594936709,32.620000000000005,0.75172222236,-1.0,-0.025,-4.0,-0.090909091,-10.0,-0.185185185,0,1,0,0,0.21,0.07,0.06,0.67,-0.5
2020-06-01,makassar,6,1.22e-16,-1.0,-0.13,0.0,-0.07,76,40,100,0,6,100,39.0,33.0,49.0,14124.97524,4.25,9200,-0.2,0,0,0.0,1,0,0,0,0,0,0.21,-0.16,0.01,0.07,0.08,0.1,0.06,0.17,0.29,0.67,-0.14,-0.19,-0.5,-0.09,-0.38,78.0,73.0,60.0,48.0,47.0,0.0,89.0,87.0,61.0,0.0,0.0,0.0,15.0,17.0,6.0,60.0,51.0,53.0,36.0,40.0,84.0,28.0,25.0,32.0,58.0,39.0,40.0,14831.66,15788.09476,15118.60095,4.5,4.5,4.5,9200.0,9200.0,9200.0,0.0,0.3,0.5,0.11,0.236431808,0.041666667,0.285756306,0.11,0.060827625,0.183333333,0.128478273,0.083333333,0.077674535,0.145,0.096488341,0.25,0.405832478,0.028333333,0.357402667,0.06,0.648151217,0.5,0.983178519,-2.0,-0.025641026,-8.0,-0.166666667,11.0,0.123595506,0.0,-1.0,-9.0,-0.6,35.860000000000014,0.666666667,3.0,0.083333333,5.0,0.178571429,-9.0,-0.155172414,5.0,0.068493151,13.0,0.216666667,8.0,0.153846154,1.0,0.021276596,47.0,-1.0,-66.55,-1.0,2.0,0.022988506,26.0,0.426229508,-14.0,-0.186666667,0.0,-1.0,0.0,-1.0,0.0,-1.0,-2.0,-0.117647059,11.0,1.833333333,-1.0,-0.142857143,9.0,0.176470588,-2.0,-0.037735849,-12.0,-0.184615385,-4.0,-0.1,-41.24,-0.50788981582,1.0,0.012048193,3.0,0.12,-7.0,-0.21875,-40.31,-0.594936709,19.0,0.487179487,-1.0,-0.025,-4.0,-0.090909091,0,1,0,0,0.28,0.18,0.02,0.22,0.77
2020-07-01,makassar,7,-0.5,-0.866025404,-0.69,0.0,-3.35,38,0,72,0,6,58,43.0,25.0,35.0,14509.49909,4.0,9200,-0.4,0,0,0.0,1,0,0,0,0,0,0.28,0.21,-0.16,0.18,0.07,0.08,0.02,0.06,0.17,0.22,0.67,-0.14,0.77,-0.5,-0.09,76.0,78.0,73.0,40.0,48.0,47.0,100.0,89.0,87.0,0.0,0.0,0.0,6.0,15.0,17.0,100.0,60.0,51.0,39.0,36.0,40.0,33.0,28.0,25.0,49.0,58.0,39.0,14124.97524,14831.66,15788.09476,4.25,4.5,4.5,9200.0,9200.0,9200.0,-0.2,0.0,0.3,0.026666667,0.379780638,0.041666667,0.285756306,0.05,0.14106736,0.101666667,0.12655697,0.08,0.072111026,0.14,0.094445752,0.273333333,0.372871738,0.063333333,0.330434058,-0.306666667,0.994199846,-0.02,0.896883493,-38.0,-0.5,-40.0,-1.0,-28.0,-0.28,0.0,-1.0,0.0,0.0,-24.62,-0.42,4.0,0.102564103,-8.0,-0.242424242,-14.0,-0.285714286,-2.0,-0.025641026,5.0,0.068493151,13.0,0.216666667,-8.0,-0.166666667,1.0,0.021276596,47.0,-1.0,11.0,0.123595506,2.0,0.022988506,26.0,0.426229508,0.0,-1.0,0.0,-1.0,0.0,-1.0,-9.0,-0.6,-2.0,-0.117647059,11.0,1.833333333,40.0,0.666666667,9.0,0.176470588,-2.0,-0.037735849,3.0,0.083333333,-4.0,-0.1,-41.24,-0.50788981582,5.0,0.178571429,3.0,0.12,-7.0,-0.21875,-9.0,-0.155172414,19.0,0.487179487,-1.0,-0.025,0,1,0,0,-0.41,-0.1,0.16,-0.07,-1.19
2020-08-01,makassar,8,-0.866025404,-0.5,-0.82,0.01,-0.47,31,0,58,0,12,45,49.0,8.69,38.0,14650.88,4.0,9200,-0.5,0,0,0.0,1,0,0,1,0,0,-0.41,0.28,0.21,-0.1,0.18,0.07,0.16,0.02,0.06,-0.07,0.22,0.67,-1.19,0.77,-0.5,38.0,76.0,78.0,0.0,40.0,48.0,72.0,100.0,89.0,0.0,0.0,0.0,6.0,6.0,15.0,58.0,100.0,60.0,43.0,39.0,36.0,25.0,33.0,28.0,35.0,49.0,58.0,14509.49909,14124.97524,14831.66,4.0,4.25,4.5,9200.0,9200.0,9200.0,-0.4,-0.2,0.0,-0.02,0.353694784,9.25e-18,0.253456111,0.01,0.149331845,0.046666667,0.103085725,0.156666667,0.135030861,0.165,0.112561095,0.043333333,0.155026879,0.078333333,0.322949945,-0.62,1.210247908,-0.471666667,0.793761089,-7.0,-0.184210526,0.0,-1.0,-14.0,-0.194444444,0.0,-1.0,6.0,1.0,-13.0,-0.224137931,6.0,0.139534884,-25.0,-1.0,3.0,0.085714286,-38.0,-0.5,-2.0,-0.025641026,5.0,0.068493151,-40.0,-1.0,-8.0,-0.166666667,1.0,0.021276596,-28.0,-0.28,11.0,0.123595506,2.0,0.022988506,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-9.0,-0.6,-2.0,-0.117647059,-24.62,-0.42,40.0,0.666666667,9.0,0.176470588,4.0,0.102564103,3.0,0.083333333,-4.0,-0.1,-8.0,-0.242424242,5.0,0.178571429,3.0,0.12,-14.0,-0.285714286,-9.0,-0.155172414,19.0,0.487179487,0,1,0,0,0.07,-0.05,0.29,-0.02,-1.44
2020-09-01,makassar,9,-1.0,-1.84e-16,0.07,0.0,0.11,46,0,64,0,8,48,44.0,28.0,37.0,14773.71682,4.0,9200,-0.8,0,0,0.0,1,0,0,1,0,0,0.07,-0.41,0.28,-0.05,-0.1,0.18,0.29,0.16,0.02,-0.02,-0.07,0.22,-1.44,-1.19,0.77,31.0,38.0,76.0,0.0,0.0,40.0,58.0,72.0,100.0,0.0,0.0,0.0,12.0,6.0,6.0,45.0,58.0,100.0,49.0,43.0,39.0,8.69,25.0,33.0,38.0,35.0,49.0,14650.88,14509.49909,14124.97524,4.0,4.0,4.25,9200.0,9200.0,9200.0,-0.5,-0.4,-0.2,-0.173333333,0.240069434,-0.031666667,0.263622204,-0.066666667,0.028867513,0.021666667,0.105719755,0.193333333,0.085049005,0.138333333,0.094533945,-0.093333333,0.087368949,0.078333333,0.322949945,-1.076666667,0.431315816,-0.508333333,0.793761089,15.0,0.483870968,0.0,-1.0,6.0,0.103448276,0.0,-1.0,-4.0,-0.333333333,3.0,0.066666667,-5.0,-0.102040816,28.0,-1.0,-1.0,-0.026315789,-7.0,-0.184210526,-38.0,-0.5,-2.0,-0.025641026,0.0,-1.0,-40.0,-1.0,-8.0,-0.166666667,-14.0,-0.194444444,-28.0,-0.28,11.0,0.123595506,0.0,-1.0,0.0,-1.0,0.0,-1.0,6.0,1.0,0.0,0.0,-9.0,-0.6,-13.0,-0.224137931,-24.62,-0.42,40.0,0.666666667,6.0,0.139534884,4.0,0.102564103,3.0,0.083333333,-25.0,-1.0,-8.0,-0.242424242,5.0,0.178571429,3.0,0.085714286,-14.0,-0.285714286,-9.0,-0.155172414,0,1,0,0,-0.18,-0.05,0.13,-0.19,-0.6
2020-10-01,makassar,10,-0.866025404,0.5,0.07,0.0,-0.66,40,0,79,0,4,28,50.0,32.0,36.0,14675.39227,4.0,9200,-1.1,0,0,0.0,0,0,0,1,0,0,-0.18,0.07,-0.41,-0.05,-0.05,-0.1,0.13,0.29,0.16,-0.19,-0.02,-0.07,-0.6,-1.44,-1.19,46.0,31.0,38.0,0.0,0.0,0.0,64.0,58.0,72.0,0.0,0.0,0.0,8.0,12.0,6.0,48.0,45.0,58.0,44.0,49.0,43.0,28.0,8.69,25.0,37.0,38.0,35.0,14773.71682,14650.88,14509.49909,4.0,4.0,4.0,9200.0,9200.0,9200.0,-0.8,-0.5,-0.4,-0.043333333,0.126622799,-0.008333333,0.256079415,-0.01,0.069282032,0.02,0.104690019,0.153333333,0.126622799,0.116666667,0.100531919,-0.12,0.088881944,0.076666667,0.32432494,-0.546666667,0.921158691,-0.426666667,0.867217773,-6.0,-0.130434783,0.0,-1.0,15.0,0.234375,0.0,-1.0,-4.0,-0.5,-20.0,-0.416666667,6.0,0.136363636,4.0,0.142857143,-1.0,-0.027027027,15.0,0.483870968,-7.0,-0.184210526,-38.0,-0.5,0.0,-1.0,0.0,-1.0,-40.0,-1.0,6.0,0.103448276,-14.0,-0.194444444,-28.0,-0.28,0.0,-1.0,0.0,-1.0,0.0,-1.0,-4.0,-0.333333333,6.0,1.0,0.0,0.0,3.0,0.066666667,-13.0,-0.224137931,-24.62,-0.42,-5.0,-0.102040816,6.0,0.139534884,4.0,0.102564103,28.0,-1.0,-25.0,-1.0,-8.0,-0.242424242,-1.0,-0.026315789,3.0,0.085714286,-14.0,-0.285714286,0,1,0,0,-0.02,0.07,0.04,-0.15,0.4
2020-11-01,makassar,11,-0.5,0.866025404,0.37,-0.06,0.74,41,47,71,0,8,28,69.0,35.0,31.0,14165.6281,3.75,9200,-1.2,0,0,0.0,0,1,0,1,0,0,-0.02,-0.18,0.07,0.07,-0.05,-0.05,0.04,0.13,0.29,-0.15,-0.19,-0.02,0.4,-0.6,-1.44,40.0,46.0,31.0,0.0,0.0,0.0,79.0,64.0,58.0,0.0,0.0,0.0,4.0,8.0,12.0,28.0,48.0,45.0,50.0,44.0,49.0,32.0,28.0,8.69,36.0,37.0,38.0,14675.39227,14773.71682,14650.88,4.0,4.0,4.0,9200.0,9200.0,9200.0,-1.1,-0.8,-0.5,9.25e-18,0.19078784,-0.01,0.254401258,0.1,0.167032931,0.055,0.15003333,0.076666667,0.047258156,0.116666667,0.100531919,-0.06,0.191572441,-0.008333333,0.165821189,0.37,0.955353338,-0.125,1.115791199,1.0,0.025,47.0,-1.0,-8.0,-0.101265823,0.0,-1.0,4.0,1.0,0.0,0.0,19.0,0.38,3.0,0.09375,-5.0,-0.138888889,-6.0,-0.130434783,15.0,0.483870968,-7.0,-0.184210526,0.0,-1.0,0.0,-1.0,0.0,-1.0,15.0,0.234375,6.0,0.103448276,-14.0,-0.194444444,0.0,-1.0,0.0,-1.0,0.0,-1.0,-4.0,-0.5,-4.0,-0.333333333,6.0,1.0,-20.0,-0.416666667,3.0,0.066666667,-13.0,-0.224137931,6.0,0.136363636,-5.0,-0.102040816,6.0,0.139534884,4.0,0.142857143,28.0,-1.0,-25.0,-1.0,-1.0,-0.027027027,-1.0,-0.026315789,3.0,0.085714286,0,1,0,0,0.2,0.28,0.06,0.16,1.31
