date,kota,month,month_sin,month_cos,ihk_kel_01_mtm,ihk_kel_03_mtm,ihk_kel_06_mtm,gt_harga_beras,gt_harga_cabai,gt_harga_telur,gt_harga_daging_ayam,gt_harga_minyak_goreng,gt_harga_bawang,gt_tiket_pesawat,gt_tiket_kereta,gt_harga_bensin,kurs_usd_idr,bi_rate_percent,harga_bbm_pertamax,oceanic_nino_index,is_ramadan,is_lebaran,pre_lebaran_1m,is_dry_season,is_rainy_season,is_el_nino,is_la_nina,bbm_price_hike_event,bi_rate_hike_event,ihk_umum_mtm_lag1,ihk_umum_mtm_lag2,ihk_umum_mtm_lag3,inflasi_general_mtm_lag1,inflasi_general_mtm_lag2,inflasi_general_mtm_lag3,inflasi_core_mtm_lag1,inflasi_core_mtm_lag2,inflasi_core_mtm_lag3,inflasi_administered_price_mtm_lag1,inflasi_administered_price_mtm_lag2,inflasi_administered_price_mtm_lag3,inflasi_volatile_good_mtm_lag1,inflasi_volatile_good_mtm_lag2,inflasi_volatile_good_mtm_lag3,gt_harga_beras_lag1,gt_harga_beras_lag2,gt_harga_beras_lag3,gt_harga_cabai_lag1,gt_harga_cabai_lag2,gt_harga_cabai_lag3,gt_harga_telur_lag1,gt_harga_telur_lag2,gt_harga_telur_lag3,gt_harga_daging_ayam_lag1,gt_harga_daging_ayam_lag2,gt_harga_daging_ayam_lag3,gt_harga_minyak_goreng_lag1,gt_harga_minyak_goreng_lag2,gt_harga_minyak_goreng_lag3,gt_harga_bawang_lag1,gt_harga_bawang_lag2,gt_harga_bawang_lag3,gt_tiket_pesawat_lag1,gt_tiket_pesawat_lag2,gt_tiket_pesawat_lag3,gt_tiket_kereta_lag1,gt_tiket_kereta_lag2,gt_tiket_kereta_lag3,gt_harga_bensin_lag1,gt_harga_bensin_lag2,gt_harga_bensin_lag3,kurs_usd_idr_lag1,kurs_usd_idr_lag2,kurs_usd_idr_lag3,bi_rate_percent_lag1,bi_rate_percent_lag2,bi_rate_percent_lag3,harga_bbm_pertamax_lag1,harga_bbm_pertamax_lag2,harga_bbm_pertamax_lag3,oceanic_nino_index_lag1,oceanic_nino_index_lag2,oceanic_nino_index_lag3,ihk_umum_mtm_roll_mean_3,ihk_umum_mtm_roll_std_3,ihk_umum_mtm_roll_mean_6,ihk_umum_mtm_roll_std_6,inflasi_general_mtm_roll_mean_3,inflasi_general_mtm_roll_std_3,inflasi_general_mtm_roll_mean_6,inflasi_general_mtm_roll_std_6,inflasi_core_mtm_roll_mean_3,inflasi_core_mtm_roll_std_3,inflasi_core_mtm_roll_mean_6,inflasi_core_mtm_roll_std_6,inflasi_administered_price_mtm_roll_mean_3,inflasi_administered_price_mtm_roll_std_3,inflasi_administered_price_mtm_roll_mean_6,inflasi_administered_price_mtm_roll_std_6,inflasi_volatile_good_mtm_roll_mean_3,inflasi_volatile_good_mtm_roll_std_3,inflasi_volatile_good_mtm_roll_mean_6,inflasi_volatile_good_mtm_roll_std_6,gt_harga_beras_diff1,gt_harga_beras_pct_change,gt_harga_cabai_diff1,gt_harga_cabai_pct_change,gt_harga_telur_diff1,gt_harga_telur_pct_change,gt_harga_daging_ayam_diff1,gt_harga_daging_ayam_pct_change,gt_harga_minyak_goreng_diff1,gt_harga_minyak_goreng_pct_change,gt_harga_bawang_diff1,gt_harga_bawang_pct_change,gt_tiket_pesawat_diff1,gt_tiket_pesawat_pct_change,gt_tiket_kereta_diff1,gt_tiket_kereta_pct_change,gt_harga_bensin_diff1,gt_harga_bensin_pct_change,gt_harga_beras_lag1_diff1,gt_harga_beras_lag1_pct_change,gt_harga_beras_lag2_diff1,gt_harga_beras_lag2_pct_change,gt_harga_beras_lag3_diff1,gt_harga_beras_lag3_pct_change,gt_harga_cabai_lag1_diff1,gt_harga_cabai_lag1_pct_change,gt_harga_cabai_lag2_diff1,gt_harga_cabai_lag2_pct_change,gt_harga_cabai_lag3_diff1,gt_harga_cabai_lag3_pct_change,gt_harga_telur_lag1_diff1,gt_harga_telur_lag1_pct_change,gt_harga_telur_lag2_diff1,gt_harga_telur_lag2_pct_change,gt_harga_telur_lag3_diff1,gt_harga_telur_lag3_pct_change,gt_harga_daging_ayam_lag1_diff1,gt_harga_daging_ayam_lag1_pct_change,gt_harga_daging_ayam_lag2_diff1,gt_harga_daging_ayam_lag2_pct_change,gt_harga_daging_ayam_lag3_diff1,gt_harga_daging_ayam_lag3_pct_change,gt_harga_minyak_goreng_lag1_diff1,gt_harga_minyak_goreng_lag1_pct_change,gt_harga_minyak_goreng_lag2_diff1,gt_harga_minyak_goreng_lag2_pct_change,gt_harga_minyak_goreng_lag3_diff1,gt_harga_minyak_goreng_lag3_pct_change,gt_harga_bawang_lag1_diff1,gt_harga_bawang_lag1_pct_change,gt_harga_bawang_lag2_diff1,gt_harga_bawang_lag2_pct_change,gt_harga_bawang_lag3_diff1,gt_harga_bawang_lag3_pct_change,gt_tiket_pesawat_lag1_diff1,gt_tiket_pesawat_lag1_pct_change,gt_tiket_pesawat_lag2_diff1,gt_tiket_pesawat_lag2_pct_change,gt_tiket_pesawat_lag3_diff1,gt_tiket_pesawat_lag3_pct_change,gt_tiket_kereta_lag1_diff1,gt_tiket_kereta_lag1_pct_change,gt_tiket_kereta_lag2_diff1,gt_tiket_kereta_lag2_pct_change,gt_tiket_kereta_lag3_diff1,gt_tiket_kereta_lag3_pct_change,gt_harga_bensin_lag1_diff1,gt_harga_bensin_lag1_pct_change,gt_harga_bensin_lag2_diff1,gt_harga_bensin_lag2_pct_change,gt_harga_bensin_lag3_diff1,gt_harga_bensin_lag3_pct_change,kota_jakarta,kota_makassar,kota_medan,kota_surabaya,ihk_umum_mtm,inflasi_general_mtm,inflasi_core_mtm,inflasi_administered_price_mtm,inflasi_volatile_good_mtm
2020-02-01,medan,2,0.866025404,0.5,0.42,0.0,-0.78,87,31,97,33,13,59,77.0,74.0,68.0,13707.272,4.75,9200,0.6,0,0,0.0,0,1,1,0,0,0,0.32,0.32,0.32,0.39,0.39,0.39,0.19,0.19,0.19,-0.28,-0.28,-0.28,1.93,1.93,1.93,37.0,37.0,37.0,26.0,26.0,26.0,52.0,52.0,52.0,0.0,0.0,0.0,6.0,6.0,6.0,38.0,38.0,38.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,73.0,73.0,13663.56727,13663.56727,13663.56727,5.0,5.0,5.0,9400.0,9400.0,9400.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,44.24000000000001,0.9718867927000006,5.0,0.192307692,33.31,0.6925000002300001,33.0,-1.0,7.0,1.166666667,21.0,0.552631579,-23.0,-0.23,-26.0,-0.26,-5.0,-0.068493151,47.93000000000001,1.2202092416800003,50.0,1.351351351,50.0,1.351351351,5.0,0.192307692,5.0,0.192307692,5.0,0.192307692,35.24000000000001,0.7798076922600002,38.93000000000001,0.85211538439,42.24000000000001,0.865384615,33.0,-1.0,33.0,-1.0,33.0,-1.0,7.0,1.166666667,7.0,1.166666667,7.0,1.166666667,21.0,0.552631579,21.0,0.552631579,21.0,0.552631579,-23.0,-0.23,-23.0,-0.23,-23.0,-0.23,-26.0,-0.26,-26.0,-0.26,-26.0,-0.26,-5.0,-0.068493151,-5.0,-0.068493151,-5.0,-0.068493151,0,0,1,0,0.32,0.28,0.14,-0.11,1.27
2020-03-01,medan,3,1.0,6.12e-17,-0.63,0.0,-0.52,61,32,65,0,9,54,72.0,57.0,59.0,15118.60095,4.5,9200,0.5,0,0,0.0,0,0,1,0,0,0,0.32,0.32,0.32,0.28,0.39,0.39,0.14,0.19,0.19,-0.11,-0.28,-0.28,1.27,1.93,1.93,87.0,37.0,37.0,31.0,26.0,26.0,97.0,52.0,52.0,33.0,0.0,0.0,13.0,6.0,6.0,59.0,38.0,38.0,77.0,100.0,100.0,74.0,100.0,100.0,68.0,73.0,73.0,13707.272,13663.56727,13663.56727,4.75,5.0,5.0,9200.0,9400.0,9400.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,-26.0,-0.298850575,1.0,0.032258065,-32.0,-0.329896907,-33.0,-1.0,-4.0,-0.307692308,-5.0,-0.084745763,-5.0,-0.064935065,-17.0,-0.22972973,-9.0,-0.132352941,47.93000000000001,1.2202092416800003,50.0,1.351351351,50.0,1.351351351,5.0,0.192307692,5.0,0.192307692,5.0,0.192307692,35.24000000000001,0.7798076922600002,38.93000000000001,0.85211538439,42.24000000000001,0.865384615,33.0,-1.0,33.0,-1.0,33.0,-1.0,7.0,1.166666667,7.0,1.166666667,7.0,1.166666667,21.0,0.552631579,21.0,0.552631579,21.0,0.552631579,-23.0,-0.23,-23.0,-0.23,-23.0,-0.23,-26.0,-0.26,-26.0,-0.26,-26.0,-0.26,-5.0,-0.068493151,-5.0,-0.068493151,-5.0,-0.068493151,0,0,1,0,0.01,0.1,0.29,-0.19,-0.38
2020-04-01,medan,4,0.866025404,-0.5,-0.8,0.0,-0.19,100,39,83,62,16,59,28.0,24.0,44.0,15788.09476,4.5,9200,0.3,1,0,1.0,0,0,0,0,0,0,0.01,0.32,0.32,0.1,0.28,0.39,0.29,0.14,0.19,-0.19,-0.11,-0.28,-0.38,1.27,1.93,61.0,87.0,37.0,32.0,31.0,26.0,65.0,97.0,52.0,0.0,33.0,0.0,9.0,13.0,6.0,54.0,59.0,38.0,72.0,77.0,100.0,57.0,74.0,100.0,59.0,68.0,73.0,15118.60095,13707.272,13663.56727,4.5,4.75,5.0,9200.0,9200.0,9400.0,0.5,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.153333333,0.110151411,0.183333333,0.128478273,0.2,0.079372539,0.145,0.096488341,-0.146666667,0.040414519,0.028333333,0.357402667,0.266666667,0.880927541,0.5,0.983178519,39.0,0.639344262,7.0,0.21875,18.0,0.276923077,62.0,-1.0,7.0,0.777777778,5.0,0.092592593,-41.24,-0.50788981582,-33.0,-0.578947368,-15.0,-0.254237288,-26.0,-0.298850575,50.0,1.351351351,50.0,1.351351351,1.0,0.032258065,5.0,0.192307692,5.0,0.192307692,-32.0,-0.329896907,38.93000000000001,0.85211538439,42.24000000000001,0.865384615,-33.0,-1.0,33.0,-1.0,33.0,-1.0,-4.0,-0.307692308,7.0,1.166666667,7.0,1.166666667,-5.0,-0.084745763,21.0,0.552631579,21.0,0.552631579,-5.0,-0.064935065,-23.0,-0.23,-23.0,-0.23,-17.0,-0.22972973,-26.0,-0.26,-26.0,-0.26,-9.0,-0.132352941,-5.0,-0.068493151,-5.0,-0.068493151,0,0,1,0,-0.16,0.08,0.17,-0.14,-0.09
2020-05-01,medan,5,0.5,-0.866025404,0.77,0.0,1.58,81,34,76,0,13,100,31.0,20.0,58.0,14831.66,4.5,9200,0.0,1,1,0.0,0,0,0,0,0,0,-0.16,0.01,0.32,0.08,0.1,0.28,0.17,0.29,0.14,-0.14,-0.19,-0.11,-0.09,-0.38,1.27,100.0,61.0,87.0,39.0,32.0,31.0,83.0,65.0,97.0,62.0,0.0,33.0,16.0,9.0,13.0,59.0,54.0,59.0,28.0,72.0,77.0,24.0,57.0,74.0,44.0,59.0,68.0,15788.09476,15118.60095,13707.272,4.5,4.5,4.75,9200.0,9200.0,9200.0,0.3,0.5,0.6,0.02,0.185202592,0.041666667,0.285756306,0.083333333,0.015275252,0.183333333,0.128478273,0.173333333,0.115036226,0.145,0.096488341,0.113333333,0.482735262,0.028333333,0.357402667,-0.323333333,0.210792157,0.5,0.983178519,-19.0,-0.19,-5.0,-0.128205128,-7.0,-0.084337349,-62.0,-1.0,-3.0,-0.1875,35.860000000000014,0.694915254,3.0,0.107142857,-4.0,-0.166666667,14.0,0.318181818,39.0,0.639344262,-26.0,-0.298850575,50.0,1.351351351,7.0,0.21875,1.0,0.032258065,5.0,0.192307692,18.0,0.276923077,-32.0,-0.329896907,42.24000000000001,0.865384615,62.0,-1.0,-33.0,-1.0,33.0,-1.0,7.0,0.777777778,-4.0,-0.307692308,7.0,1.166666667,5.0,0.092592593,-5.0,-0.084745763,21.0,0.552631579,-41.24,-0.50788981582,-5.0,-0.064935065,-23.0,-0.23,-33.0,-0.578947368,-17.0,-0.22972973,-26.0,-0.26,-15.0,-0.254237288,-9.0,-0.132352941,-5.0,-0.068493151,0,0,1,0,0.21,0.07,0.06,0.67,-0.5
2020-06-01,medan,6,1.22e-16,-1.0,-0.14,0.0,-0.19,91,38,92,39,10,91,38.0,32.0,91.0,14124.97524,4.25,9200,-0.2,0,0,0.0,1,0,0,0,0,0,0.21,-0.16,0.01,0.07,0.08,0.1,0.06,0.17,0.29,0.67,-0.14,-0.19,-0.5,-0.09,-0.38,81.0,100.0,61.0,34.0,39.0,32.0,76.0,83.0,65.0,0.0,62.0,0.0,13.0,16.0,9.0,100.0,59.0,54.0,31.0,28.0,72.0,20.0,24.0,57.0,58.0,44.0,59.0,14831.66,15788.09476,15118.60095,4.5,4.5,4.5,9200.0,9200.0,9200.0,0.0,0.3,0.5,0.11,0.236431808,0.041666667,0.285756306,0.11,0.060827625,0.183333333,0.128478273,0.083333333,0.077674535,0.145,0.096488341,0.25,0.405832478,0.028333333,0.357402667,0.06,0.648151217,0.5,0.983178519,10.0,0.12345679,4.0,0.117647059,16.0,0.210526316,39.0,-1.0,-3.0,-0.230769231,-9.0,-0.09,7.0,0.225806452,12.0,0.6,33.0,0.568965517,-19.0,-0.19,39.0,0.639344262,-26.0,-0.298850575,-5.0,-0.128205128,7.0,0.21875,1.0,0.032258065,-7.0,-0.084337349,18.0,0.276923077,-32.0,-0.329896907,-62.0,-1.0,62.0,-1.0,-33.0,-1.0,-3.0,-0.1875,7.0,0.777777778,-4.0,-0.307692308,40.31,0.694915254,5.0,0.092592593,-5.0,-0.084745763,3.0,0.107142857,-41.24,-0.50788981582,-5.0,-0.064935065,-4.0,-0.166666667,-33.0,-0.578947368,-17.0,-0.22972973,14.0,0.318181818,-15.0,-0.254237288,-9.0,-0.132352941,0,0,1,0,0.28,0.18,0.02,0.22,0.77
2020-07-01,medan,7,-0.5,-0.866025404,-0.93,0.11,-1.6,31,24,58,0,8,76,39.0,21.0,53.0,14509.49909,4.0,9200,-0.4,0,0,0.0,1,0,0,0,0,0,0.28,0.21,-0.16,0.18,0.07,0.08,0.02,0.06,0.17,0.22,0.67,-0.14,0.77,-0.5,-0.09,91.0,81.0,100.0,38.0,34.0,39.0,92.0,76.0,83.0,39.0,0.0,62.0,10.0,13.0,16.0,91.0,100.0,59.0,38.0,31.0,28.0,32.0,20.0,24.0,91.0,58.0,44.0,14124.97524,14831.66,15788.09476,4.25,4.5,4.5,9200.0,9200.0,9200.0,-0.2,0.0,0.3,0.026666667,0.379780638,0.041666667,0.285756306,0.05,0.14106736,0.101666667,0.12655697,0.08,0.072111026,0.14,0.094445752,0.273333333,0.372871738,0.063333333,0.330434058,-0.306666667,0.994199846,-0.02,0.896883493,-40.31,-0.51033333323,-14.0,-0.368421053,-32.62,-0.369565217,-39.0,-1.0,-2.0,-0.2,-15.0,-0.164835165,1.0,0.026315789,-11.0,-0.34375,-38.0,-0.417582418,10.0,0.12345679,-19.0,-0.19,39.0,0.639344262,4.0,0.117647059,-5.0,-0.128205128,7.0,0.21875,16.0,0.210526316,-7.0,-0.084337349,18.0,0.276923077,39.0,-1.0,-62.0,-1.0,62.0,-1.0,-3.0,-0.230769231,-3.0,-0.1875,7.0,0.777777778,-9.0,-0.09,41.0,0.694915254,5.0,0.092592593,7.0,0.225806452,3.0,0.107142857,-41.24,-0.50788981582,12.0,0.6,-4.0,-0.166666667,-33.0,-0.578947368,33.0,0.568965517,14.0,0.318181818,-15.0,-0.254237288,0,0,1,0,-0.41,-0.1,0.16,-0.07,-1.19
2020-08-01,medan,8,-0.866025404,-0.5,-0.23,-0.04,-0.38,32,26,49,35,6,57,40.0,19.0,57.0,14650.88,4.0,9200,-0.5,0,0,0.0,1,0,0,1,0,0,-0.41,0.28,0.21,-0.1,0.18,0.07,0.16,0.02,0.06,-0.07,0.22,0.67,-1.19,0.77,-0.5,31.0,91.0,81.0,24.0,38.0,34.0,58.0,92.0,76.0,0.0,39.0,0.0,8.0,10.0,13.0,76.0,91.0,100.0,39.0,38.0,31.0,21.0,32.0,20.0,53.0,91.0,58.0,14509.49909,14124.97524,14831.66,4.0,4.25,4.5,9200.0,9200.0,9200.0,-0.4,-0.2,0.0,-0.02,0.353694784,9.25e-18,0.253456111,0.01,0.149331845,0.046666667,0.103085725,0.156666667,0.135030861,0.165,0.112561095,0.043333333,0.155026879,0.078333333,0.322949945,-0.62,1.210247908,-0.471666667,0.793761089,1.0,0.032258065,2.0,0.083333333,-9.0,-0.155172414,35.0,-1.0,-2.0,-0.25,-19.0,-0.25,1.0,0.025641026,-2.0,-0.095238095,4.0,0.075471698,-40.31,-0.51033333323,10.0,0.12345679,-19.0,-0.19,-14.0,-0.368421053,4.0,0.117647059,-5.0,-0.128205128,-32.62,-0.369565217,16.0,0.210526316,-7.0,-0.084337349,-39.0,-1.0,39.0,-1.0,-62.0,-1.0,-2.0,-0.2,-3.0,-0.230769231,-3.0,-0.1875,-15.0,-0.164835165,-9.0,-0.09,41.0,0.694915254,1.0,0.026315789,7.0,0.225806452,3.0,0.107142857,-11.0,-0.34375,12.0,0.6,-4.0,-0.166666667,-38.0,-0.417582418,33.0,0.568965517,14.0,0.318181818,0,0,1,0,0.07,-0.05,0.29,-0.02,-1.44
2020-09-01,medan,9,-1.0,-1.84e-16,-0.03,0.0,-0.3,44,21,57,39,15,37,31.0,19.0,58.0,14773.71682,4.0,9200,-0.8,0,0,0.0,1,0,0,1,0,0,0.07,-0.41,0.28,-0.05,-0.1,0.18,0.29,0.16,0.02,-0.02,-0.07,0.22,-1.44,-1.19,0.77,32.0,31.0,91.0,26.0,24.0,38.0,49.0,58.0,92.0,35.0,0.0,39.0,6.0,8.0,10.0,57.0,76.0,91.0,40.0,39.0,38.0,19.0,21.0,32.0,57.0,53.0,91.0,14650.88,14509.49909,14124.97524,4.0,4.0,4.25,9200.0,9200.0,9200.0,-0.5,-0.4,-0.2,-0.173333333,0.240069434,-0.031666667,0.263622204,-0.066666667,0.028867513,0.021666667,0.105719755,0.193333333,0.085049005,0.138333333,0.094533945,-0.093333333,0.087368949,0.078333333,0.322949945,-1.076666667,0.431315816,-0.508333333,0.793761089,12.0,0.375,-5.0,-0.192307692,8.0,0.163265306,4.0,0.114285714,9.0,1.5,-20.0,-0.350877193,-9.0,-0.225,0.0,0.0,1.0,0.01754386,1.0,0.032258065,-40.31,-0.51033333323,10.0,0.12345679,2.0,0.083333333,-14.0,-0.368421053,4.0,0.117647059,-9.0,-0.155172414,-32.62,-0.369565217,16.0,0.210526316,35.0,-1.0,-39.0,-1.0,39.0,-1.0,-2.0,-0.25,-2.0,-0.2,-3.0,-0.230769231,-19.0,-0.25,-15.0,-0.164835165,-9.0,-0.09,1.0,0.025641026,1.0,0.026315789,7.0,0.225806452,-2.0,-0.095238095,-11.0,-0.34375,12.0,0.6,4.0,0.075471698,-38.0,-0.417582418,33.0,0.568965517,0,0,1,0,-0.18,-0.05,0.13,-0.19,-0.6
2020-10-01,medan,10,-0.866025404,0.5,1.32,-0.04,0.15,45,35,49,31,8,47,37.0,24.0,44.0,14675.39227,4.0,9200,-1.1,0,0,0.0,0,0,0,1,0,0,-0.18,0.07,-0.41,-0.05,-0.05,-0.1,0.13,0.29,0.16,-0.19,-0.02,-0.07,-0.6,-1.44,-1.19,44.0,32.0,31.0,21.0,26.0,24.0,57.0,49.0,58.0,39.0,35.0,0.0,15.0,6.0,8.0,37.0,57.0,76.0,31.0,40.0,39.0,19.0,19.0,21.0,58.0,57.0,53.0,14773.71682,14650.88,14509.49909,4.0,4.0,4.0,9200.0,9200.0,9200.0,-0.8,-0.5,-0.4,-0.043333333,0.126622799,-0.008333333,0.256079415,-0.01,0.069282032,0.02,0.104690019,0.153333333,0.126622799,0.116666667,0.100531919,-0.12,0.088881944,0.076666667,0.32432494,-0.546666667,0.921158691,-0.426666667,0.867217773,1.0,0.022727273,14.0,0.666666667,-8.0,-0.140350877,-8.0,-0.205128205,-7.0,-0.466666667,10.0,0.27027027,6.0,0.193548387,5.0,0.263157895,-14.0,-0.24137931,12.0,0.375,1.0,0.032258065,-40.31,-0.51033333323,-5.0,-0.192307692,2.0,0.083333333,-14.0,-0.368421053,8.0,0.163265306,-9.0,-0.155172414,-32.62,-0.369565217,4.0,0.114285714,35.0,-1.0,-39.0,-1.0,9.0,1.5,-2.0,-0.25,-2.0,-0.2,-20.0,-0.350877193,-19.0,-0.25,-15.0,-0.164835165,-9.0,-0.225,1.0,0.025641026,1.0,0.026315789,0.0,0.0,-2.0,-0.095238095,-11.0,-0.34375,1.0,0.01754386,4.0,0.075471698,-38.0,-0.417582418,0,0,1,0,-0.02,0.07,0.04,-0.15,0.4
2020-11-01,medan,11,-0.5,0.866025404,0.58,-0.05,1.07,45,30,56,55,7,52,51.0,25.0,40.0,14165.6281,3.75,9200,-1.2,0,0,0.0,0,1,0,1,0,0,-0.02,-0.18,0.07,0.07,-0.05,-0.05,0.04,0.13,0.29,-0.15,-0.19,-0.02,0.4,-0.6,-1.44,45.0,44.0,32.0,35.0,21.0,26.0,49.0,57.0,49.0,31.0,39.0,35.0,8.0,15.0,6.0,47.0,37.0,57.0,37.0,31.0,40.0,24.0,19.0,19.0,44.0,58.0,57.0,14675.39227,14773.71682,14650.88,4.0,4.0,4.0,9200.0,9200.0,9200.0,-1.1,-0.8,-0.5,9.25e-18,0.19078784,-0.01,0.254401258,0.1,0.167032931,0.055,0.15003333,0.076666667,0.047258156,0.116666667,0.100531919,-0.06,0.191572441,-0.008333333,0.165821189,0.37,0.955353338,-0.125,1.115791199,0.0,0.0,-5.0,-0.142857143,7.0,0.142857143,24.0,0.774193548,-1.0,-0.125,5.0,0.106382979,14.0,0.378378378,1.0,0.041666667,-4.0,-0.090909091,1.0,0.022727273,12.0,0.375,1.0,0.032258065,14.0,0.666666667,-5.0,-0.192307692,2.0,0.083333333,-8.0,-0.140350877,8.0,0.163265306,-9.0,-0.155172414,-8.0,-0.205128205,4.0,0.114285714,35.0,-1.0,-7.0,-0.466666667,9.0,1.5,-2.0,-0.25,10.0,0.27027027,-20.0,-0.350877193,-19.0,-0.25,6.0,0.193548387,-9.0,-0.225,1.0,0.025641026,5.0,0.263157895,0.0,0.0,-2.0,-0.095238095,-14.0,-0.24137931,1.0,0.01754386,4.0,0.075471698,0,0,1,0,0.2,0.28,0.06,0.16,1.31
