date,kota,month,month_sin,month_cos,ihk_kel_01_mtm,ihk_kel_03_mtm,ihk_kel_06_mtm,gt_harga_beras,gt_harga_cabai,gt_harga_telur,gt_harga_daging_ayam,gt_harga_minyak_goreng,gt_harga_bawang,gt_tiket_pesawat,gt_tiket_kereta,gt_harga_bensin,kurs_usd_idr,bi_rate_percent,harga_bbm_pertamax,oceanic_nino_index,is_ramadan,is_lebaran,pre_lebaran_1m,is_dry_season,is_rainy_season,is_el_nino,is_la_nina,bbm_price_hike_event,bi_rate_hike_event,ihk_umum_mtm_lag1,ihk_umum_mtm_lag2,ihk_umum_mtm_lag3,inflasi_general_mtm_lag1,inflasi_general_mtm_lag2,inflasi_general_mtm_lag3,inflasi_core_mtm_lag1,inflasi_core_mtm_lag2,inflasi_core_mtm_lag3,inflasi_administered_price_mtm_lag1,inflasi_administered_price_mtm_lag2,inflasi_administered_price_mtm_lag3,inflasi_volatile_good_mtm_lag1,inflasi_volatile_good_mtm_lag2,inflasi_volatile_good_mtm_lag3,gt_harga_beras_lag1,gt_harga_beras_lag2,gt_harga_beras_lag3,gt_harga_cabai_lag1,gt_harga_cabai_lag2,gt_harga_cabai_lag3,gt_harga_telur_lag1,gt_harga_telur_lag2,gt_harga_telur_lag3,gt_harga_daging_ayam_lag1,gt_harga_daging_ayam_lag2,gt_harga_daging_ayam_lag3,gt_harga_minyak_goreng_lag1,gt_harga_minyak_goreng_lag2,gt_harga_minyak_goreng_lag3,gt_harga_bawang_lag1,gt_harga_bawang_lag2,gt_harga_bawang_lag3,gt_tiket_pesawat_lag1,gt_tiket_pesawat_lag2,gt_tiket_pesawat_lag3,gt_tiket_kereta_lag1,gt_tiket_kereta_lag2,gt_tiket_kereta_lag3,gt_harga_bensin_lag1,gt_harga_bensin_lag2,gt_harga_bensin_lag3,kurs_usd_idr_lag1,kurs_usd_idr_lag2,kurs_usd_idr_lag3,bi_rate_percent_lag1,bi_rate_percent_lag2,bi_rate_percent_lag3,harga_bbm_pertamax_lag1,harga_bbm_pertamax_lag2,harga_bbm_pertamax_lag3,oceanic_nino_index_lag1,oceanic_nino_index_lag2,oceanic_nino_index_lag3,ihk_umum_mtm_roll_mean_3,ihk_umum_mtm_roll_std_3,ihk_umum_mtm_roll_mean_6,ihk_umum_mtm_roll_std_6,inflasi_general_mtm_roll_mean_3,inflasi_general_mtm_roll_std_3,inflasi_general_mtm_roll_mean_6,inflasi_general_mtm_roll_std_6,inflasi_core_mtm_roll_mean_3,inflasi_core_mtm_roll_std_3,inflasi_core_mtm_roll_mean_6,inflasi_core_mtm_roll_std_6,inflasi_administered_price_mtm_roll_mean_3,inflasi_administered_price_mtm_roll_std_3,inflasi_administered_price_mtm_roll_mean_6,inflasi_administered_price_mtm_roll_std_6,inflasi_volatile_good_mtm_roll_mean_3,inflasi_volatile_good_mtm_roll_std_3,inflasi_volatile_good_mtm_roll_mean_6,inflasi_volatile_good_mtm_roll_std_6,gt_harga_beras_diff1,gt_harga_beras_pct_change,gt_harga_cabai_diff1,gt_harga_cabai_pct_change,gt_harga_telur_diff1,gt_harga_telur_pct_change,gt_harga_daging_ayam_diff1,gt_harga_daging_ayam_pct_change,gt_harga_minyak_goreng_diff1,gt_harga_minyak_goreng_pct_change,gt_harga_bawang_diff1,gt_harga_bawang_pct_change,gt_tiket_pesawat_diff1,gt_tiket_pesawat_pct_change,gt_tiket_kereta_diff1,gt_tiket_kereta_pct_change,gt_harga_bensin_diff1,gt_harga_bensin_pct_change,gt_harga_beras_lag1_diff1,gt_harga_beras_lag1_pct_change,gt_harga_beras_lag2_diff1,gt_harga_beras_lag2_pct_change,gt_harga_beras_lag3_diff1,gt_harga_beras_lag3_pct_change,gt_harga_cabai_lag1_diff1,gt_harga_cabai_lag1_pct_change,gt_harga_cabai_lag2_diff1,gt_harga_cabai_lag2_pct_change,gt_harga_cabai_lag3_diff1,gt_harga_cabai_lag3_pct_change,gt_harga_telur_lag1_diff1,gt_harga_telur_lag1_pct_change,gt_harga_telur_lag2_diff1,gt_harga_telur_lag2_pct_change,gt_harga_telur_lag3_diff1,gt_harga_telur_lag3_pct_change,gt_harga_daging_ayam_lag1_diff1,gt_harga_daging_ayam_lag1_pct_change,gt_harga_daging_ayam_lag2_diff1,gt_harga_daging_ayam_lag2_pct_change,gt_harga_daging_ayam_lag3_diff1,gt_harga_daging_ayam_lag3_pct_change,gt_harga_minyak_goreng_lag1_diff1,gt_harga_minyak_goreng_lag1_pct_change,gt_harga_minyak_goreng_lag2_diff1,gt_harga_minyak_goreng_lag2_pct_change,gt_harga_minyak_goreng_lag3_diff1,gt_harga_minyak_goreng_lag3_pct_change,gt_harga_bawang_lag1_diff1,gt_harga_bawang_lag1_pct_change,gt_harga_bawang_lag2_diff1,gt_harga_bawang_lag2_pct_change,gt_harga_bawang_lag3_diff1,gt_harga_bawang_lag3_pct_change,gt_tiket_pesawat_lag1_diff1,gt_tiket_pesawat_lag1_pct_change,gt_tiket_pesawat_lag2_diff1,gt_tiket_pesawat_lag2_pct_change,gt_tiket_pesawat_lag3_diff1,gt_tiket_pesawat_lag3_pct_change,gt_tiket_kereta_lag1_diff1,gt_tiket_kereta_lag1_pct_change,gt_tiket_kereta_lag2_diff1,gt_tiket_kereta_lag2_pct_change,gt_tiket_kereta_lag3_diff1,gt_tiket_kereta_lag3_pct_change,gt_harga_bensin_lag1_diff1,gt_harga_bensin_lag1_pct_change,gt_harga_bensin_lag2_diff1,gt_harga_bensin_lag2_pct_change,gt_harga_bensin_lag3_diff1,gt_harga_bensin_lag3_pct_change,kota_jakarta,kota_makassar,kota_medan,kota_surabaya,ihk_umum_mtm,inflasi_general_mtm,inflasi_core_mtm,inflasi_administered_price_mtm,inflasi_volatile_good_mtm
2020-02-01,surabaya,2,0.866025404,0.5,1.14,-0.01,0.08,55,44,66,58,13,69,88.93,94.0,47.0,13707.272,4.75,9000,0.6,0,0,0.0,0,1,1,0,0,0,0.32,0.32,0.32,0.39,0.39,0.39,0.19,0.19,0.19,-0.28,-0.28,-0.28,1.93,1.93,1.93,35.0,35.0,35.0,43.0,43.0,43.0,54.0,54.0,54.0,45.0,45.0,45.0,9.0,9.0,9.0,53.0,53.0,53.0,100.0,100.0,100.0,100.0,100.0,100.0,55.0,55.0,55.0,13663.56727,13663.56727,13663.56727,5.0,5.0,5.0,9200.0,9200.0,9200.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,20.0,0.571428571,1.0,0.023255814,12.0,0.222222222,13.0,0.288888889,4.0,0.444444444,16.0,0.301886792,-9.0,-0.09,-6.0,-0.06,-8.0,-0.145454545,20.0,0.571428571,20.0,0.571428571,20.0,0.571428571,1.0,0.023255814,1.0,0.023255814,1.0,0.023255814,12.0,0.222222222,12.0,0.222222222,12.0,0.222222222,13.0,0.288888889,13.0,0.288888889,13.0,0.288888889,4.0,0.444444444,4.0,0.444444444,4.0,0.444444444,16.0,0.301886792,16.0,0.301886792,16.0,0.301886792,-9.0,-0.09,-9.0,-0.09,-9.0,-0.09,-6.0,-0.06,-6.0,-0.06,-6.0,-0.06,-8.0,-0.145454545,-8.0,-0.145454545,-8.0,-0.145454545,0,0,0,1,0.32,0.28,0.14,-0.11,1.27
2020-03-01,surabaya,3,1.0,6.12e-17,0.08,0.0,-0.68,49,42,54,44,12,52,88.93,54.0,44.0,15118.60095,4.5,9000,0.5,0,0,0.0,0,0,1,0,0,0,0.32,0.32,0.32,0.28,0.39,0.39,0.14,0.19,0.19,-0.11,-0.28,-0.28,1.27,1.93,1.93,55.0,35.0,35.0,44.0,43.0,43.0,66.0,54.0,54.0,58.0,45.0,45.0,13.0,9.0,9.0,69.0,53.0,53.0,91.0,100.0,100.0,94.0,100.0,100.0,47.0,55.0,55.0,13707.272,13663.56727,13663.56727,4.75,5.0,5.0,9000.0,9200.0,9200.0,0.6,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.256666667,0.146401275,0.183333333,0.128478273,0.206666667,0.076376262,0.145,0.096488341,-0.193333333,0.085049005,0.028333333,0.357402667,0.94,1.189831921,0.5,0.983178519,-6.0,-0.109090909,-2.0,-0.045454545,-12.0,-0.181818182,-14.0,-0.24137931,-1.0,-0.076923077,-17.0,-0.246376812,2.0,0.021978022,-40.0,-0.425531915,-3.0,-0.063829787,20.0,0.571428571,20.0,0.571428571,20.0,0.571428571,1.0,0.023255814,1.0,0.023255814,1.0,0.023255814,12.0,0.222222222,12.0,0.222222222,12.0,0.222222222,13.0,0.288888889,13.0,0.288888889,13.0,0.288888889,4.0,0.444444444,4.0,0.444444444,4.0,0.444444444,16.0,0.301886792,16.0,0.301886792,16.0,0.301886792,-9.0,-0.09,-9.0,-0.09,-9.0,-0.09,-6.0,-0.06,-6.0,-0.06,-6.0,-0.06,-8.0,-0.145454545,-8.0,-0.145454545,-8.0,-0.145454545,0,0,0,1,0.01,0.1,0.29,-0.19,-0.38
2020-04-01,surabaya,4,0.866025404,-0.5,-0.47,-0.01,-1.19,73,47,76,92,19,65,45.0,21.0,39.0,15788.09476,4.5,9000,0.3,1,0,1.0,0,0,0,0,0,0,0.01,0.32,0.32,0.1,0.28,0.39,0.29,0.14,0.19,-0.19,-0.11,-0.28,-0.38,1.27,1.93,49.0,55.0,35.0,42.0,44.0,43.0,54.0,66.0,54.0,44.0,58.0,45.0,12.0,13.0,9.0,52.0,69.0,53.0,93.0,91.0,100.0,54.0,94.0,100.0,44.0,47.0,55.0,15118.60095,13707.272,13663.56727,4.5,4.75,5.0,9000.0,9000.0,9200.0,0.5,0.6,0.6,0.056666667,0.243378991,0.041666667,0.285756306,0.153333333,0.110151411,0.183333333,0.128478273,0.2,0.079372539,0.145,0.096488341,-0.146666667,0.040414519,0.028333333,0.357402667,0.266666667,0.880927541,0.5,0.983178519,24.0,0.489795918,5.0,0.119047619,22.0,0.407407407,48.0,1.090909091,7.0,0.583333333,13.0,0.25,-41.24,-0.50788981582,-33.0,-0.611111111,-5.0,-0.113636364,-6.0,-0.109090909,20.0,0.571428571,20.0,0.571428571,-2.0,-0.045454545,1.0,0.023255814,1.0,0.023255814,-12.0,-0.181818182,12.0,0.222222222,12.0,0.222222222,-14.0,-0.24137931,13.0,0.288888889,13.0,0.288888889,-1.0,-0.076923077,4.0,0.444444444,4.0,0.444444444,-17.0,-0.246376812,16.0,0.301886792,16.0,0.301886792,2.0,0.021978022,-9.0,-0.09,-9.0,-0.09,-40.0,-0.425531915,-6.0,-0.06,-6.0,-0.06,-3.0,-0.063829787,-8.0,-0.145454545,-8.0,-0.145454545,0,0,0,1,-0.16,0.08,0.17,-0.14,-0.09
2020-05-01,surabaya,5,0.5,-0.866025404,-0.12,0.01,1.72,72,47,99,63,21,83,42.0,19.0,47.0,14831.66,4.5,9000,0.0,1,1,0.0,0,0,0,0,0,0,-0.16,0.01,0.32,0.08,0.1,0.28,0.17,0.29,0.14,-0.14,-0.19,-0.11,-0.09,-0.38,1.27,73.0,49.0,55.0,47.0,42.0,44.0,76.0,54.0,66.0,92.0,44.0,58.0,19.0,12.0,13.0,65.0,52.0,69.0,45.0,93.0,91.0,21.0,54.0,94.0,39.0,44.0,47.0,15788.09476,15118.60095,13707.272,4.5,4.5,4.75,9000.0,9000.0,9000.0,0.3,0.5,0.6,0.02,0.185202592,0.041666667,0.285756306,0.083333333,0.015275252,0.183333333,0.128478273,0.173333333,0.115036226,0.145,0.096488341,0.113333333,0.482735262,0.028333333,0.357402667,-0.323333333,0.210792157,0.5,0.983178519,-1.0,-0.01369863,0.0,0.0,23.0,0.302631579,-29.0,-0.315217391,2.0,0.105263158,18.0,0.276923077,-3.0,-0.066666667,-2.0,-0.095238095,8.0,0.205128205,24.0,0.489795918,-6.0,-0.109090909,20.0,0.571428571,5.0,0.119047619,-2.0,-0.045454545,1.0,0.023255814,22.0,0.407407407,-12.0,-0.181818182,12.0,0.222222222,48.0,1.090909091,-14.0,-0.24137931,13.0,0.288888889,7.0,0.583333333,-1.0,-0.076923077,4.0,0.444444444,13.0,0.25,-17.0,-0.246376812,16.0,0.301886792,-41.24,-0.50788981582,2.0,0.021978022,-9.0,-0.09,-33.0,-0.611111111,-40.0,-0.425531915,-6.0,-0.06,-5.0,-0.113636364,-3.0,-0.063829787,-8.0,-0.145454545,0,0,0,1,0.21,0.07,0.06,0.67,-0.5
2020-06-01,surabaya,6,1.22e-16,-1.0,0.01,-0.01,2.29,64,40,76,52,11,100,55.0,32.0,59.0,14124.97524,4.25,9000,-0.2,0,0,0.0,1,0,0,0,0,0,0.21,-0.16,0.01,0.07,0.08,0.1,0.06,0.17,0.29,0.67,-0.14,-0.19,-0.5,-0.09,-0.38,72.0,73.0,49.0,47.0,47.0,42.0,99.0,76.0,54.0,63.0,92.0,44.0,21.0,19.0,12.0,83.0,65.0,52.0,42.0,45.0,93.0,19.0,21.0,54.0,47.0,39.0,44.0,14831.66,15788.09476,15118.60095,4.5,4.5,4.5,9000.0,9000.0,9000.0,0.0,0.3,0.5,0.11,0.236431808,0.041666667,0.285756306,0.11,0.060827625,0.183333333,0.128478273,0.083333333,0.077674535,0.145,0.096488341,0.25,0.405832478,0.028333333,0.357402667,0.06,0.648151217,0.5,0.983178519,-8.0,-0.111111111,-7.0,-0.14893617,-23.0,-0.232323232,-11.0,-0.174603175,-10.0,-0.476190476,17.0,0.204819277,13.0,0.30952381,13.0,0.684210526,12.0,0.255319149,-1.0,-0.01369863,24.0,0.489795918,-6.0,-0.109090909,0.0,0.0,5.0,0.119047619,-2.0,-0.045454545,23.0,0.302631579,22.0,0.407407407,-12.0,-0.181818182,-29.0,-0.315217391,48.0,1.090909091,-14.0,-0.24137931,2.0,0.105263158,7.0,0.583333333,-1.0,-0.076923077,18.0,0.276923077,13.0,0.25,-17.0,-0.246376812,-3.0,-0.066666667,-41.24,-0.50788981582,2.0,0.021978022,-2.0,-0.095238095,-33.0,-0.611111111,-40.0,-0.425531915,8.0,0.205128205,-5.0,-0.113636364,-3.0,-0.063829787,0,0,0,1,0.28,0.18,0.02,0.22,0.77
2020-07-01,surabaya,7,-0.5,-0.866025404,-1.55,0.0,-1.38,34,32,59,54,9,69,48.0,26.0,35.0,14509.49909,4.0,9000,-0.4,0,0,0.0,1,0,0,0,0,0,0.28,0.21,-0.16,0.18,0.07,0.08,0.02,0.06,0.17,0.22,0.67,-0.14,0.77,-0.5,-0.09,64.0,72.0,73.0,40.0,47.0,47.0,76.0,99.0,76.0,52.0,63.0,92.0,11.0,21.0,19.0,100.0,83.0,65.0,55.0,42.0,45.0,32.0,19.0,21.0,59.0,47.0,39.0,14124.97524,14831.66,15788.09476,4.25,4.5,4.5,9000.0,9000.0,9000.0,-0.2,0.0,0.3,0.026666667,0.379780638,0.041666667,0.285756306,0.05,0.14106736,0.101666667,0.12655697,0.08,0.072111026,0.14,0.094445752,0.273333333,0.372871738,0.063333333,0.330434058,-0.306666667,0.994199846,-0.02,0.896883493,-30.0,-0.46875,-8.0,-0.2,-17.0,-0.223684211,2.0,0.038461538,-2.0,-0.181818182,-24.62,-0.31,-7.0,-0.127272727,-6.0,-0.1875,-24.0,-0.406779661,-8.0,-0.111111111,-1.0,-0.01369863,24.0,0.489795918,-7.0,-0.14893617,0.0,0.0,5.0,0.119047619,-23.0,-0.232323232,23.0,0.302631579,22.0,0.407407407,-11.0,-0.174603175,-29.0,-0.315217391,48.0,1.090909091,-10.0,-0.476190476,2.0,0.105263158,7.0,0.583333333,17.0,0.204819277,18.0,0.276923077,13.0,0.25,13.0,0.30952381,-3.0,-0.066666667,-41.24,-0.50788981582,13.0,0.684210526,-2.0,-0.095238095,-33.0,-0.611111111,12.0,0.255319149,8.0,0.205128205,-5.0,-0.113636364,0,0,0,1,-0.41,-0.1,0.16,-0.07,-1.19
2020-08-01,surabaya,8,-0.866025404,-0.5,-0.8,0.03,0.56,36,32,54,52,10,52,52.0,31.0,34.0,14650.88,4.0,9000,-0.5,0,0,0.0,1,0,0,1,0,0,-0.41,0.28,0.21,-0.1,0.18,0.07,0.16,0.02,0.06,-0.07,0.22,0.67,-1.19,0.77,-0.5,34.0,64.0,72.0,32.0,40.0,47.0,59.0,76.0,99.0,54.0,52.0,63.0,9.0,11.0,21.0,69.0,100.0,83.0,48.0,55.0,42.0,26.0,32.0,19.0,35.0,59.0,47.0,14509.49909,14124.97524,14831.66,4.0,4.25,4.5,9000.0,9000.0,9000.0,-0.4,-0.2,0.0,-0.02,0.353694784,9.25e-18,0.253456111,0.01,0.149331845,0.046666667,0.103085725,0.156666667,0.135030861,0.165,0.112561095,0.043333333,0.155026879,0.078333333,0.322949945,-0.62,1.210247908,-0.471666667,0.793761089,2.0,0.058823529,0.0,0.0,-5.0,-0.084745763,-2.0,-0.037037037,1.0,0.111111111,-17.0,-0.246376812,4.0,0.083333333,5.0,0.192307692,-1.0,-0.028571429,-30.0,-0.46875,-8.0,-0.111111111,-1.0,-0.01369863,-8.0,-0.2,-7.0,-0.14893617,0.0,0.0,-17.0,-0.223684211,-23.0,-0.232323232,23.0,0.302631579,2.0,0.038461538,-11.0,-0.174603175,-29.0,-0.315217391,-2.0,-0.181818182,-10.0,-0.476190476,2.0,0.105263158,-24.62,-0.31,17.0,0.204819277,18.0,0.276923077,-7.0,-0.127272727,13.0,0.30952381,-3.0,-0.066666667,-6.0,-0.1875,13.0,0.684210526,-2.0,-0.095238095,-24.0,-0.406779661,12.0,0.255319149,8.0,0.205128205,0,0,0,1,0.07,-0.05,0.29,-0.02,-1.44
2020-09-01,surabaya,9,-1.0,-1.84e-16,-0.48,0.0,-0.79,41,31,55,51,11,48,47.0,26.0,36.0,14773.71682,4.0,9000,-0.8,0,0,0.0,1,0,0,1,0,0,0.07,-0.41,0.28,-0.05,-0.1,0.18,0.29,0.16,0.02,-0.02,-0.07,0.22,-1.44,-1.19,0.77,36.0,34.0,64.0,32.0,32.0,40.0,54.0,59.0,76.0,52.0,54.0,52.0,10.0,9.0,11.0,52.0,69.0,100.0,52.0,48.0,55.0,31.0,26.0,32.0,34.0,35.0,59.0,14650.88,14509.49909,14124.97524,4.0,4.0,4.25,9000.0,9000.0,9000.0,-0.5,-0.4,-0.2,-0.173333333,0.240069434,-0.031666667,0.263622204,-0.066666667,0.028867513,0.021666667,0.105719755,0.193333333,0.085049005,0.138333333,0.094533945,-0.093333333,0.087368949,0.078333333,0.322949945,-1.076666667,0.431315816,-0.508333333,0.793761089,5.0,0.138888889,-1.0,-0.03125,1.0,0.018518519,-1.0,-0.019230769,1.0,0.1,-4.0,-0.076923077,-5.0,-0.096153846,-5.0,-0.161290323,2.0,0.058823529,2.0,0.058823529,-30.0,-0.46875,-8.0,-0.111111111,0.0,0.0,-8.0,-0.2,-7.0,-0.14893617,-5.0,-0.084745763,-17.0,-0.223684211,-23.0,-0.232323232,-2.0,-0.037037037,2.0,0.038461538,-11.0,-0.174603175,1.0,0.111111111,-2.0,-0.181818182,-10.0,-0.476190476,-17.0,-0.246376812,-24.62,-0.31,17.0,0.204819277,4.0,0.083333333,-7.0,-0.127272727,13.0,0.30952381,5.0,0.192307692,-6.0,-0.1875,13.0,0.684210526,-1.0,-0.028571429,-24.0,-0.406779661,12.0,0.255319149,0,0,0,1,-0.18,-0.05,0.13,-0.19,-0.6
2020-10-01,surabaya,10,-0.866025404,0.5,-0.21,-0.09,-0.34,38,41,63,55,10,50,58.0,32.0,37.0,14675.39227,4.0,9000,-1.1,0,0,0.0,0,0,0,1,0,0,-0.18,0.07,-0.41,-0.05,-0.05,-0.1,0.13,0.29,0.16,-0.19,-0.02,-0.07,-0.6,-1.44,-1.19,41.0,36.0,34.0,31.0,32.0,32.0,55.0,54.0,59.0,51.0,52.0,54.0,11.0,10.0,9.0,48.0,52.0,69.0,47.0,52.0,48.0,26.0,31.0,26.0,36.0,34.0,35.0,14773.71682,14650.88,14509.49909,4.0,4.0,4.0,9000.0,9000.0,9000.0,-0.8,-0.5,-0.4,-0.043333333,0.126622799,-0.008333333,0.256079415,-0.01,0.069282032,0.02,0.104690019,0.153333333,0.126622799,0.116666667,0.100531919,-0.12,0.088881944,0.076666667,0.32432494,-0.546666667,0.921158691,-0.426666667,0.867217773,-3.0,-0.073170732,10.0,0.322580645,8.0,0.145454545,4.0,0.078431373,-1.0,-0.090909091,2.0,0.041666667,11.0,0.234042553,6.0,0.230769231,1.0,0.027777778,5.0,0.138888889,2.0,0.058823529,-30.0,-0.46875,-1.0,-0.03125,0.0,0.0,-8.0,-0.2,1.0,0.018518519,-5.0,-0.084745763,-17.0,-0.223684211,-1.0,-0.019230769,-2.0,-0.037037037,2.0,0.038461538,1.0,0.1,1.0,0.111111111,-2.0,-0.181818182,-4.0,-0.076923077,-17.0,-0.246376812,-24.62,-0.31,-5.0,-0.096153846,4.0,0.083333333,-7.0,-0.127272727,-5.0,-0.161290323,5.0,0.192307692,-6.0,-0.1875,2.0,0.058823529,-1.0,-0.028571429,-24.0,-0.406779661,0,0,0,1,-0.02,0.07,0.04,-0.15,0.4
2020-11-01,surabaya,11,-0.5,0.866025404,1.1,-0.05,-0.36,37,31,62,60,11,47,65.0,42.0,39.0,14165.6281,3.75,9000,-1.2,0,0,0.0,0,1,0,1,0,0,-0.02,-0.18,0.07,0.07,-0.05,-0.05,0.04,0.13,0.29,-0.15,-0.19,-0.02,0.4,-0.6,-1.44,38.0,41.0,36.0,41.0,31.0,32.0,63.0,55.0,54.0,55.0,51.0,52.0,10.0,11.0,10.0,50.0,48.0,52.0,58.0,47.0,52.0,32.0,26.0,31.0,37.0,36.0,34.0,14675.39227,14773.71682,14650.88,4.0,4.0,4.0,9000.0,9000.0,9000.0,-1.1,-0.8,-0.5,9.25e-18,0.19078784,-0.01,0.254401258,0.1,0.167032931,0.055,0.15003333,0.076666667,0.047258156,0.116666667,0.100531919,-0.06,0.191572441,-0.008333333,0.165821189,0.37,0.955353338,-0.125,1.115791199,-1.0,-0.026315789,-10.0,-0.243902439,-1.0,-0.015873016,5.0,0.090909091,1.0,0.1,-3.0,-0.06,7.0,0.120689655,10.0,0.3125,2.0,0.054054054,-3.0,-0.073170732,5.0,0.138888889,2.0,0.058823529,10.0,0.322580645,-1.0,-0.03125,0.0,0.0,8.0,0.145454545,1.0,0.018518519,-5.0,-0.084745763,4.0,0.078431373,-1.0,-0.019230769,-2.0,-0.037037037,-1.0,-0.090909091,1.0,0.1,1.0,0.111111111,2.0,0.041666667,-4.0,-0.076923077,-17.0,-0.246376812,11.0,0.234042553,-5.0,-0.096153846,4.0,0.083333333,6.0,0.230769231,-5.0,-0.161290323,5.0,0.192307692,1.0,0.027777778,2.0,0.058823529,-1.0,-0.028571429,0,0,0,1,0.2,0.28,0.06,0.16,1.31
