150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,,2025,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,115.41,115.36,115.19,118.62,117.14,116.33,117.68,121.35,120.98,120.49,117.66,128.67,-,113.79,112.96,112.4,116.73,114.71,113.43,114.33,118.8,118.32,117.68,114.03,127.52,-,118.45,120.7,120.64,120.82,120.53,122.32,123.14,123.14,123.25,123.03,122.87,122.9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121.77,124.49,126.03,126.3,126.93,127.51,130.97,132.04,132.04,132.1,132.23,135.1,-
MEULABOH,111.78,111.19,112.65,112.88,112.54,112.5,113.71,115.45,115.75,114.56,112.82,118.26,-,111.52,110.76,112.05,112.34,111.9,111.21,112.72,114.92,115.32,113.8,111.4,118.36,-,109.83,109.34,108.08,108.22,108.37,108.5,109.34,109.75,109.32,109.32,109.54,108.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.24,113.34,116.01,116.01,116.01,118.72,118.72,118.72,118.72,118.72,119.42,119.58,-
KAB ACEH TAMIANG,115.99,115.79,115.81,115.89,112.52,112.59,114.75,117.11,117.64,117.38,115.52,126.13,-,114.16,113.81,113.84,113.92,109.81,109.83,112.46,115.41,115.98,115.31,112.93,125.77,-,110.44,110.44,110.44,110.44,107.8,107.8,107.8,107.91,107.91,107.91,107.91,108.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127.73,128.21,128.23,128.31,128.6,128.89,129.42,129.51,130.07,131.88,132.02,134.77,-
KOTA BANDA ACEH,111.75,111.23,111.95,113.92,112.64,111.96,113.33,115.07,116.05,115.5,113.61,121.59,-,111.32,110.67,111.49,113.74,112.22,111.35,112.83,114.84,115.95,115.31,113.04,122.39,-,102.62,102.09,102.15,102.72,102.76,102.78,102.74,102.9,103.11,103.11,103.56,103.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.5,123.18,123.46,123.75,123.75,124.48,125.76,125.95,126.25,126.25,126.37,126.72,-
KOTA LHOKSEUMAWE,114.09,112.9,113.23,114.14,112.64,111.96,114.22,116.71,116.48,116.1,114.22,120.11,-,113.52,112.07,112.19,113.18,111.34,110.52,113.25,116.25,115.97,115.5,113.24,120.33,-,107.06,107.18,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.69,106.72,106.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120.76,120.76,122.93,123.6,123.83,123.83,123.83,123.83,123.83,123.83,123.83,123.83,-
KAB LABUHANBATU,113.41,113,112.28,112.78,110.83,109.76,110.14,115.24,117.84,115.76,113.24,117.76,-,112.61,111.91,110.44,110.98,108.51,107.01,107.43,113.81,116.93,114.26,111.12,116.74,-,109.43,111.38,115.66,116.2,115.93,115.93,115.93,115.6,115.57,116.43,116.43,116.71,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119.02,119.36,120.97,121.27,121.48,122.38,122.66,122.78,123.45,123.52,123.55,123.55,-
KAB KARO,111.95,110.83,109.94,110.4,109.77,108.64,110.23,113.55,114.56,113.08,110.73,113.75,-,110.88,109.48,108.37,108.95,108.17,106.76,108.74,113.1,114.36,112.52,109.6,113.36,-,96.91,96.91,96.91,96.91,96.91,96.92,96.92,96.72,96.32,96.39,96.39,96.1,-,100,100,100,100,100,100,100,100,100,100,100,100,-,119.52,119.52,119.52,119.52,119.52,119.52,119.52,118.45,118.45,118.43,118.43,118.43,-
KAB DELI SERDANG,116.59,116.8,116.06,117.24,115.4,114.13,117,121.44,123.03,121.5,119.52,124.08,-,117.09,117.05,115.83,117.3,115,113.42,116.62,122.02,123.97,122.08,119.56,125.01,-,108.56,111.6,113.03,112.2,111.88,111.88,113.1,112.43,112.73,112.73,112.87,113.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,117.25,117.69,118.91,119.24,119.49,119.49,121.16,122.07,122.08,122.08,122.39,123.12,-
KOTA SIBOLGA,113.44,112.96,112.03,113.75,112.58,111.85,113.63,115.9,117.65,116.91,114.32,122.61,-,111.77,111.14,109.93,112,110.4,109.44,111.58,114.12,116.17,115.21,111.93,121.62,-,112.02,112.02,112.08,113.31,113.62,113.92,113.92,114.7,115.41,115.41,115.38,115.79,-,100,100,100,100,100,100,100,100,100,100,100,112.5,-,122.31,122.38,122.64,122.71,123.33,123.44,123.9,125.3,125.79,125.98,126.05,129.5,-
KOTA PEMATANGSIANTAR,112.41,112.67,112.57,112.93,112.1,111.36,113.56,116.97,117.87,115.71,115.05,118.36,-,110.42,110.57,110.4,110.81,109.81,108.84,111.53,115.49,116.48,113.77,112.92,116.95,-,121.19,124.56,125.55,125.25,125.24,125.2,125.2,125.6,125.6,125.6,125.6,125.86,-,120,120,120,120,120,120,120,120,120,120,120,120,-,121.67,121.84,121.84,122.07,122.07,122.43,122.43,123.45,124.11,124.55,124.79,124.79,-
KOTA MEDAN,114.04,112.97,112.62,112.98,111.21,110.63,112.62,116.82,118.14,116.84,115.42,120.34,-,113.78,112.5,112.09,112.43,110.3,109.59,111.89,116.81,118.35,116.77,115.1,120.88,-,105.68,105.9,105.99,107.02,107.22,107.42,107.55,107.39,107.19,107.49,107.21,107.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122.18,122.19,122.19,122.2,122.51,122.64,122.93,123.39,123.58,123.89,124.03,124.15,-
KOTA PADANGSIDIMPUAN,113.11,113.27,113.33,115.33,113.32,112.28,113.37,116.13,120.33,118.6,115.74,119.25,-,112.45,112.58,112.65,114.81,112.27,110.91,112.01,115.44,120.56,118.34,114.75,119.12,-,107.66,108.01,108.16,108.64,108.71,108.85,108.75,109.1,109.37,109.37,109.33,109.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,116.97,117.23,117.24,118.81,118.82,119.09,120.29,120.42,121.04,121.28,121.29,121.47,-
