150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 03 Perumahan, Air, Listrik dan Bahan Bakar Rumah Tangga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Perumahan, Air, Listrik dan Bahan Bakar Rumah",,,,,,,,,,,,,Sewa dan Kontrak Rumah,,,,,,,,,,,,,"Pemeliharaan, Perbaikan dan Keamanan",,,,,,,,,,,,,Penyediaan Air dan Layanan Perumahan Lainnya,,,,,,,,,,,,,Listrik dan Bahan Bakar Rumah Tangga,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,109.42,108.29,108.54,-,-,-,-,-,-,-,-,-,-,106.25,106.69,106.83,-,-,-,-,-,-,-,-,-,-,115.25,115.25,115.25,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,108.93,106.72,107.13,-,-,-,-,-,-,-,-,-,-
MEULABOH,105.68,105.29,105.21,-,-,-,-,-,-,-,-,-,-,105.67,105.67,105.67,-,-,-,-,-,-,-,-,-,-,106.65,107.36,107.36,-,-,-,-,-,-,-,-,-,-,110.55,110.55,110.55,-,-,-,-,-,-,-,-,-,-,105.17,104.01,103.82,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,102.66,102.23,102.65,-,-,-,-,-,-,-,-,-,-,103.09,103.09,103.09,-,-,-,-,-,-,-,-,-,-,103.16,104.56,106.49,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,102.87,101.62,101.62,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,106.31,105.88,105.9,-,-,-,-,-,-,-,-,-,-,101.49,101.49,101.55,-,-,-,-,-,-,-,-,-,-,103.05,103.48,103.48,-,-,-,-,-,-,-,-,-,-,143.14,143.14,143.14,-,-,-,-,-,-,-,-,-,-,101.45,100.13,100.13,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,103.56,104.05,103.92,-,-,-,-,-,-,-,-,-,-,107.59,107.59,107.59,-,-,-,-,-,-,-,-,-,-,98.52,101.05,100.37,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,101.48,101.48,101.48,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,103.79,103.8,103.81,-,-,-,-,-,-,-,-,-,-,105.36,105.36,105.36,-,-,-,-,-,-,-,-,-,-,101.87,102.04,102.05,-,-,-,-,-,-,-,-,-,-,104.92,104.92,104.92,-,-,-,-,-,-,-,-,-,-,103.01,103.01,103.01,-,-,-,-,-,-,-,-,-,-
KAB KARO,103.76,103.77,103.77,-,-,-,-,-,-,-,-,-,-,110.87,110.87,110.87,-,-,-,-,-,-,-,-,-,-,111.25,111.35,111.42,-,-,-,-,-,-,-,-,-,-,101.08,101.08,101.08,-,-,-,-,-,-,-,-,-,-,97.83,97.83,97.83,-,-,-,-,-,-,-,-,-,-
