90 Kota Inflasi (2018=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2018=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KOTA MEULABOH,124.68,124.97,125.19,125.27,125.79,126.43,125.74,126.81,127.3,127.55,127.29,127.4,-,115.4,116.06,116.11,116.21,117.11,119.7,117.34,119.68,119.94,119.82,119.54,119.86,-,126.89,126.88,127.3,127.34,127.41,126.62,126.64,126.76,127.55,128.17,127.88,127.82,-,162.05,162.05,162.05,162.05,163.28,161.89,165.94,165.94,165.94,165.94,165.94,165.94,-,112.64,113.07,113.07,117.17,117.17,117.35,117.35,117.35,117.35,117.35,117.35,117.35,-
KOTA BANDA ACEH,128.46,128.37,126.16,126.58,126.66,125.79,126.77,127.95,127.61,127.59,127.42,128.91,-,112.97,112.97,112.97,112.97,112.97,114.86,114.86,114.86,114.86,114.86,114.86,114.86,-,127.43,127.44,128.02,128.03,128.02,126.98,127.03,127.07,128.15,128.99,128.57,128.49,-,172.88,172.1,153.31,156.38,156.99,149.61,156.73,165.47,158.71,155.35,155.62,167.14,-,129.18,135.42,135.42,135.42,135.42,135.42,135.42,135.42,135.42,135.42,135.42,135.42,-
KOTA LHOKSEUMAWE,126.58,126.77,127.07,127.06,127.25,127.36,127.66,128.35,128.99,129.51,129.13,129.04,-,108.22,108.31,107.7,107.7,108.51,109.46,108.51,108.51,108.51,109.45,108.82,108.82,-,120.68,120.94,121.68,121.67,121.66,121.46,121.49,121.76,122.81,123.3,122.91,122.76,-,181.04,181.04,181.04,181.04,181.04,181.04,184.5,188.07,188.07,188.07,188.07,188.07,-,111.43,111.43,111.43,111.43,111.43,111.43,111.43,111.43,111.43,111.43,111.43,111.43,-
KOTA SIBOLGA,117.97,118.1,117.7,117.77,117.92,117.58,117.9,118.36,118.72,118.91,118.83,117.77,-,102.71,102.71,102.71,102.71,102.71,102.71,102.71,102.71,102.71,102.71,102.71,102.71,-,122.67,122.63,122.89,122.89,122.89,122.53,122.53,122.53,122.96,123.33,123.17,123.14,-,131.16,132.04,129.04,129.4,130.28,129.41,131.2,133.76,134.51,134.58,134.58,128.71,-,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,119.78,-
KOTA PEMATANG SIANTAR,119.98,119.98,120.14,120.41,120.61,120.34,120.35,121.02,121.5,121.72,121.94,121.92,-,110.29,110.29,110.29,111.32,111.34,111.34,111.34,113.75,114.49,114.49,115.69,115.69,-,125.81,125.8,126.14,126.13,126.54,125.97,125.99,126.01,126.63,127.11,126.87,126.82,-,119.89,119.89,119.89,119.89,119.89,119.89,119.89,119.89,119.89,119.89,119.89,119.89,-,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,106.24,-
KOTA MEDAN,125.26,123.47,123.99,124.5,123.57,122.9,124.91,124.41,124.78,125.22,125.6,126.5,-,111.02,111.19,111.22,111.22,111.24,111.24,111.24,111.24,111.24,111.24,111.94,111.94,-,125.63,125.65,126.23,126.21,126.35,125.49,125.55,125.6,126.72,127.59,127.17,127.11,-,129.44,123.28,123.83,125.61,122.15,121.62,128.33,126.55,125.5,125.21,127.12,130.31,-,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,110.35,-
KOTA PADANGSIDIMPUAN,119.51,119.51,119.68,120.9,119.86,119.49,119.49,119.5,119.79,120.03,119.94,119.93,-,107.8,107.8,107.74,107.74,107.74,107.74,107.75,107.75,107.75,107.75,107.75,107.75,-,128.23,128.2,128.54,128.54,128.54,128.11,128.11,128.12,128.69,129.16,128.99,128.97,-,112.3,112.3,112.3,117.14,112.89,112.3,112.3,112.3,112.3,112.3,112.3,112.3,-,119.03,124.84,124.84,124.84,135.72,135.72,135.72,135.72,135.72,135.72,135.72,135.72,-
