150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeks Harga Konsumen (2022=100) Menurut Kelompok dan Sub Kelompok 06 Transportasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transportasi,,,,,,,,,,,,,Pembelian Kendaraan,,,,,,,,,,,,,Pengoperasian Peralatan Transportasi Pribadi,,,,,,,,,,,,,Jasa Angkutan Penumpang,,,,,,,,,,,,,Jasa Pengiriman Barang,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,113.81,113.63,114.89,-,-,-,-,-,-,-,-,-,-,99.39,100.89,101.12,-,-,-,-,-,-,-,-,-,-,114.69,114,115.48,-,-,-,-,-,-,-,-,-,-,131.14,135.66,135.66,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
MEULABOH,113.77,113.58,113.86,-,-,-,-,-,-,-,-,-,-,109.57,109.91,109.57,-,-,-,-,-,-,-,-,-,-,116.14,115.75,116.26,-,-,-,-,-,-,-,-,-,-,104,104,104.12,-,-,-,-,-,-,-,-,-,-,113.57,113.57,113.57,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,113.49,113.13,113.52,-,-,-,-,-,-,-,-,-,-,110.06,110.06,109.59,-,-,-,-,-,-,-,-,-,-,114.23,113.8,114.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,111.09,111.05,111.99,-,-,-,-,-,-,-,-,-,-,110.91,110.91,114.7,-,-,-,-,-,-,-,-,-,-,112.98,112.77,113.52,-,-,-,-,-,-,-,-,-,-,102.05,102.85,98.8,-,-,-,-,-,-,-,-,-,-,108.04,108.04,108.04,-,-,-,-,-,-,-,-,-,-
KOTA LHOKSEUMAWE,113.03,112.77,113.04,-,-,-,-,-,-,-,-,-,-,113.26,113.26,113.26,-,-,-,-,-,-,-,-,-,-,112.07,111.63,112.14,-,-,-,-,-,-,-,-,-,-,121.73,122.68,121.21,-,-,-,-,-,-,-,-,-,-,109.86,109.86,109.86,-,-,-,-,-,-,-,-,-,-
KAB LABUHANBATU,115.37,115.23,115.98,-,-,-,-,-,-,-,-,-,-,113.64,113.87,113.87,-,-,-,-,-,-,-,-,-,-,115.3,115.04,115.51,-,-,-,-,-,-,-,-,-,-,129.58,130.43,141.45,-,-,-,-,-,-,-,-,-,-,111.8,111.8,117.02,-,-,-,-,-,-,-,-,-,-
KAB KARO,111.88,111.48,111.65,-,-,-,-,-,-,-,-,-,-,106.8,104.02,104.02,-,-,-,-,-,-,-,-,-,-,114.55,114.38,114.6,-,-,-,-,-,-,-,-,-,-,102.39,102.39,102.39,-,-,-,-,-,-,-,-,-,-,102.82,102.82,102.82,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,111.3,111.45,111.74,-,-,-,-,-,-,-,-,-,-,106.08,106.08,106.43,-,-,-,-,-,-,-,-,-,-,115.34,114.95,115.41,-,-,-,-,-,-,-,-,-,-,100.4,102.61,102.26,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,113.54,113.28,113.88,-,-,-,-,-,-,-,-,-,-,105.35,105.87,106.46,-,-,-,-,-,-,-,-,-,-,113.86,113.42,113.97,-,-,-,-,-,-,-,-,-,-,119.93,119.6,120.45,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
KOTA PEMATANGSIANTAR,112.5,112.43,112.74,-,-,-,-,-,-,-,-,-,-,106.53,107.13,107.7,-,-,-,-,-,-,-,-,-,-,115.39,115.17,115.5,-,-,-,-,-,-,-,-,-,-,110.8,110.47,110.47,-,-,-,-,-,-,-,-,-,-,104.36,104.36,104.36,-,-,-,-,-,-,-,-,-,-
KOTA MEDAN,112.13,112.44,112.39,-,-,-,-,-,-,-,-,-,-,109.17,109.27,110.5,-,-,-,-,-,-,-,-,-,-,114.43,113.93,114.62,-,-,-,-,-,-,-,-,-,-,107.12,110.07,106.97,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-
KOTA PADANGSIDIMPUAN,112.17,111.58,113.46,-,-,-,-,-,-,-,-,-,-,111.23,111.46,111.66,-,-,-,-,-,-,-,-,-,-,113.16,112.75,113.27,-,-,-,-,-,-,-,-,-,-,110.14,108.33,115.37,-,-,-,-,-,-,-,-,-,-,118.04,118.04,118.04,-,-,-,-,-,-,-,-,-,-
KOTA GUNUNGSITOLI,123.96,127.43,126.85,-,-,-,-,-,-,-,-,-,-,108.97,108.97,108.97,-,-,-,-,-,-,-,-,-,-,118.53,118.48,118.69,-,-,-,-,-,-,-,-,-,-,145.97,160.92,157.87,-,-,-,-,-,-,-,-,-,-,126.04,126.04,126.04,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,114.66,114.42,115.96,-,-,-,-,-,-,-,-,-,-,115.43,115.86,115.94,-,-,-,-,-,-,-,-,-,-,115.31,114.84,116.22,-,-,-,-,-,-,-,-,-,-,107.92,107.92,114.59,-,-,-,-,-,-,-,-,-,-,103.34,103.34,103.34,-,-,-,-,-,-,-,-,-,-
